ref_site;nom;commune;territoire;date;cairnet;cairsens;polluant;mesure;lon;lat;etat;geom
6;Pontalery Nord;Robert;CAPNord;2024-08-12 01:00:00.000;20;NH3_041_Q;NH3;0.0;-60.943135237256726;14.670524816038167;true;POINT (721505.0313768755 1622892.354969173)
9;Frégate EST 2;Francois;CAESM;2024-08-12 01:00:00.000;30;H2S-CH4S_053_Q_;H2S;1.576;-60.87551822021473;14.608242006112137;true;POINT (728854.2555474788 1616067.0042495115)
8;Presqu'ile;Francois;CAESM;2024-08-12 01:00:00.000;28;H2S-CH4S_050_Q_;H2S;0.073;-60.88716012132901;14.618466911915487;true;POINT (727589.1286405253 1617186.856306874)
16;Sable Blanc;Robert;CAPNord;2024-08-12 01:00:00.000;22;H2S-CH4S_045_Q_;H2S;0.001;-60.899571880968125;14.660175373896463;true;POINT (726208.856763823 1621790.1593179004)
8;Presqu'ile;Francois;CAESM;2024-08-12 01:00:00.000;28;NH3_050_Q_45748;NH3;0.0;-60.88716012132901;14.618466911915487;true;POINT (727589.1286405253 1617186.856306874)
2;Cosmy;Trinité;CAPNord;2024-08-12 01:00:00.000;15;H2S-CH4S_029_Q_;H2S;0.0;-60.96797049473009;14.75520508037005;true;POINT (718745.0730784156 1632239.1124638)
15;Anse Cafard;Diamant;CAESM;2024-08-12 01:00:00.000;29;NH3_051_Q_47189;NH3;0.0;-61.046432192817164;14.468104623019954;true;POINT (710569.2263749122 1600394.4957454286)
2;Cosmy;Trinité;CAPNord;2024-08-12 01:00:00.000;15;NH3_029_Q_10461;NH3;0.0;-60.96797049473009;14.75520508037005;true;POINT (718745.0730784156 1632239.1124638)
18;Pointe Hyacinthe;Robert;CAPNord;2024-08-12 01:00:00.000;25;NH3_054_Q_34001;NH3;0.0;-60.91046061785808;14.663135697936376;true;POINT (725032.6942709787 1622106.904845267)
9;Frégate EST 2;Francois;CAESM;2024-08-12 01:00:00.000;30;NH3_053_Q_33584;NH3;0.0;-60.87551822021473;14.608242006112137;true;POINT (728854.2555474788 1616067.0042495115)
16;Sable Blanc;Robert;CAPNord;2024-08-12 01:00:00.000;22;NH3_045_Q_45842;NH3;0.0;-60.899571880968125;14.660175373896463;true;POINT (726208.856763823 1621790.1593179004)
27;Pointe Faula;Vauclin;CAESM;2024-08-12 01:00:00.000;6;NH3_023_Q_5407;NH3;0.0;-60.83020770416366;14.54257186975871;true;POINT (733806.5383300091 1608845.4544277156)
3;Pointe Savane;Robert;CAPNord;2024-08-12 01:00:00.000;27;H2S-CH4S_047_Q_;H2S;0.007;-60.90622813154784;14.698053468369197;true;POINT (725452.8860046127 1625975.3374370355)
12;Chateau Paille;Vauclin;CAESM;2024-08-12 01:00:00.000;33;NH3_057_Q_38409;NH3;0.0;-60.837270572196545;14.552748604849256;true;POINT (733034.474830574 1609964.4764013516)
27;Pointe Faula;Vauclin;CAESM;2024-08-12 01:00:00.000;6;H2S-CH4S_023_Q_;H2S;2.511;-60.83020770416366;14.54257186975871;true;POINT (733806.5383300091 1608845.4544277156)
6;Pontalery Nord;Robert;CAPNord;2024-08-12 01:00:00.000;20;H2S-CH4S_041_Q;H2S;1.781;-60.943135237256726;14.670524816038167;true;POINT (721505.0313768755 1622892.354969173)
18;Pointe Hyacinthe;Robert;CAPNord;2024-08-12 01:00:00.000;25;H2S-CH4S_054_Q_;H2S;0.001;-60.91046061785808;14.663135697936376;true;POINT (725032.6942709787 1622106.904845267)
15;Anse Cafard;Diamant;CAESM;2024-08-12 01:00:00.000;29;H2S-CH4S_051_Q_;H2S;0.008;-61.046432192817164;14.468104623019954;true;POINT (710569.2263749122 1600394.4957454286)
3;Pointe Savane;Robert;CAPNord;2024-08-12 01:00:00.000;27;NH3_047_Q_47197;NH3;0.0;-60.90622813154784;14.698053468369197;true;POINT (725452.8860046127 1625975.3374370355)
