NOM_USUEL;LAT;LON;ALTI;aaaammjjhh;P;U;PHI;T0C;RHUM;SOLAR RAD
VAUCLIN;14.551833;-60.836667;12;2024092000;0;2.7;290;25.9;91;0
VAUCLIN;14.551833;-60.836667;12;2024092001;0;1.4;310;25.5;93;0
VAUCLIN;14.551833;-60.836667;12;2024092002;0;1.8;210;26.2;94;0
VAUCLIN;14.551833;-60.836667;12;2024092003;0.2;2;240;26.5;87;0
VAUCLIN;14.551833;-60.836667;12;2024092004;0;2.7;290;25.7;92;0
VAUCLIN;14.551833;-60.836667;12;2024092005;0;2.6;290;25.4;93;0
VAUCLIN;14.551833;-60.836667;12;2024092006;0;2;280;25.5;94;0
VAUCLIN;14.551833;-60.836667;12;2024092007;0;1.2;290;26.9;93;25
VAUCLIN;14.551833;-60.836667;12;2024092008;0;2.2;210;29.7;76;118
VAUCLIN;14.551833;-60.836667;12;2024092009;0;3;160;31.3;73;204
VAUCLIN;14.551833;-60.836667;12;2024092010;0;4.7;170;30.9;72;273
VAUCLIN;14.551833;-60.836667;12;2024092011;0;5.1;190;31.3;68;339
VAUCLIN;14.551833;-60.836667;12;2024092012;0;5.3;190;31.5;59;317
VAUCLIN;14.551833;-60.836667;12;2024092013;0;5.7;180;31.2;63;315
VAUCLIN;14.551833;-60.836667;12;2024092014;0;5.8;170;31;68;324
VAUCLIN;14.551833;-60.836667;12;2024092015;0;5.2;200;31.3;66;250
VAUCLIN;14.551833;-60.836667;12;2024092016;0;5.3;190;30.9;67;194
VAUCLIN;14.551833;-60.836667;12;2024092017;0;4.4;200;30.5;67;93
VAUCLIN;14.551833;-60.836667;12;2024092018;0;2.8;230;29.7;71;20
VAUCLIN;14.551833;-60.836667;12;2024092019;0;2.1;290;28.4;79;1
VAUCLIN;14.551833;-60.836667;12;2024092020;0;1.1;270;27;86;0
VAUCLIN;14.551833;-60.836667;12;2024092021;0;2.5;290;26.5;87;0
VAUCLIN;14.551833;-60.836667;12;2024092022;0;2.7;290;26.1;89;0
VAUCLIN;14.551833;-60.836667;12;2024092023;0;2.2;280;26.2;90;0
VAUCLIN;14.551833;-60.836667;12;2024092100;0;1.1;260;26.3;90;0
VAUCLIN;14.551833;-60.836667;12;2024092101;0;1.6;270;26.4;88;0
VAUCLIN;14.551833;-60.836667;12;2024092102;0;1;260;26.1;89;0
VAUCLIN;14.551833;-60.836667;12;2024092103;0;2.4;280;25.7;90;0
VAUCLIN;14.551833;-60.836667;12;2024092104;0;2.8;290;25.4;91;0
VAUCLIN;14.551833;-60.836667;12;2024092105;0;2.7;290;25.4;92;0
VAUCLIN;14.551833;-60.836667;12;2024092106;0;2.4;290;25.7;92;0
VAUCLIN;14.551833;-60.836667;12;2024092107;0;2;280;27.1;89;24
VAUCLIN;14.551833;-60.836667;12;2024092108;0;2;220;29.5;74;96
VAUCLIN;14.551833;-60.836667;12;2024092109;0;4.3;170;30.8;68;181
VAUCLIN;14.551833;-60.836667;12;2024092110;0;4.8;170;31;68;239
VAUCLIN;14.551833;-60.836667;12;2024092111;0;4.3;170;30.6;72;311
VAUCLIN;14.551833;-60.836667;12;2024092112;0;3.7;170;30.4;71;305
VAUCLIN;14.551833;-60.836667;12;2024092113;0;4.3;170;30.4;71;349
VAUCLIN;14.551833;-60.836667;12;2024092114;0;4.2;160;30.6;72;235
VAUCLIN;14.551833;-60.836667;12;2024092115;0;4.1;190;30.3;70;203
VAUCLIN;14.551833;-60.836667;12;2024092116;0;5;190;30.1;71;196
VAUCLIN;14.551833;-60.836667;12;2024092117;0;4.5;180;30;70;99
VAUCLIN;14.551833;-60.836667;12;2024092118;0;3;170;29.7;74;24
VAUCLIN;14.551833;-60.836667;12;2024092119;0;3.4;170;29.6;75;2
VAUCLIN;14.551833;-60.836667;12;2024092120;0;1.4;180;28.4;83;0
VAUCLIN;14.551833;-60.836667;12;2024092121;0;3.7;150;29.5;78;0
VAUCLIN;14.551833;-60.836667;12;2024092122;0;3.9;140;29.5;79;0
VAUCLIN;14.551833;-60.836667;12;2024092123;0;3.4;140;29.3;78;0
VAUCLIN;14.551833;-60.836667;12;2024092200;0;1.6;270;28.5;82;0
VAUCLIN;14.551833;-60.836667;12;2024092201;0;2.4;300;27;89;0
VAUCLIN;14.551833;-60.836667;12;2024092202;12.4;3.3;180;26.4;89;0
VAUCLIN;14.551833;-60.836667;12;2024092203;21.4;1.9;280;24.8;92;0
VAUCLIN;14.551833;-60.836667;12;2024092204;0;3.3;290;25;95;0
VAUCLIN;14.551833;-60.836667;12;2024092205;0;3.2;290;25.2;96;0
VAUCLIN;14.551833;-60.836667;12;2024092206;0;2.5;290;25.5;96;0
VAUCLIN;14.551833;-60.836667;12;2024092207;0;1.7;290;26.8;95;5
VAUCLIN;14.551833;-60.836667;12;2024092208;0;0.5;170;29.1;81;20
VAUCLIN;14.551833;-60.836667;12;2024092209;0;3.1;160;30.3;73;64
VAUCLIN;14.551833;-60.836667;12;2024092210;0;3.8;150;30.8;71;168
VAUCLIN;14.551833;-60.836667;12;2024092211;0;4.5;160;30.7;71;166
VAUCLIN;14.551833;-60.836667;12;2024092212;0;4.6;170;31;67;24
VAUCLIN;14.551833;-60.836667;12;2024092213;0;5.5;170;30.5;70;14
VAUCLIN;14.551833;-60.836667;12;2024092214;0;5.2;170;30.4;70;52
VAUCLIN;14.551833;-60.836667;12;2024092215;0;3.6;190;30.2;70;103
VAUCLIN;14.551833;-60.836667;12;2024092216;0;3.4;190;30.2;68;42
VAUCLIN;14.551833;-60.836667;12;2024092217;0;3.9;170;30.2;67;35
VAUCLIN;14.551833;-60.836667;12;2024092218;0;3.5;170;29.6;70;12
VAUCLIN;14.551833;-60.836667;12;2024092219;0;2.9;170;29.5;72;0
VAUCLIN;14.551833;-60.836667;12;2024092220;0;0.7;260;26.8;85;0
VAUCLIN;14.551833;-60.836667;12;2024092221;0;;;;;0
VAUCLIN;14.551833;-60.836667;12;2024092222;0;2.5;290;25.5;91;0
VAUCLIN;14.551833;-60.836667;12;2024092223;0;2.2;290;25.2;92;0
VAUCLIN;14.551833;-60.836667;12;2024092300;0;2.7;290;24.9;92;0
VAUCLIN;14.551833;-60.836667;12;2024092301;0;1.8;280;24.8;93;0
VAUCLIN;14.551833;-60.836667;12;2024092302;0;2.3;290;24.6;94;0
VAUCLIN;14.551833;-60.836667;12;2024092303;0;2;300;24.4;94;0
VAUCLIN;14.551833;-60.836667;12;2024092304;0.2;2.8;290;24.2;94;0
VAUCLIN;14.551833;-60.836667;12;2024092305;0;1.7;280;24.1;94;0
VAUCLIN;14.551833;-60.836667;12;2024092306;0;1.9;280;24;95;0
VAUCLIN;14.551833;-60.836667;12;2024092307;0;0.7;180;26.4;91;2
VAUCLIN;14.551833;-60.836667;12;2024092308;0;3.3;140;30.2;69;12
VAUCLIN;14.551833;-60.836667;12;2024092309;0;2.3;120;30.9;69;22
VAUCLIN;14.551833;-60.836667;12;2024092310;0;2.3;110;31.7;71;64
VAUCLIN;14.551833;-60.836667;12;2024092311;0;2.8;100;31.6;71;123
VAUCLIN;14.551833;-60.836667;12;2024092312;0;2.9;110;31.3;70;145
VAUCLIN;14.551833;-60.836667;12;2024092313;0;3.6;110;30.6;71;195
VAUCLIN;14.551833;-60.836667;12;2024092314;0;3.2;90;31.3;70;204
VAUCLIN;14.551833;-60.836667;12;2024092315;0;3.6;100;30.9;70;286
VAUCLIN;14.551833;-60.836667;12;2024092316;0;3.3;90;30.6;72;112
VAUCLIN;14.551833;-60.836667;12;2024092317;0;3.9;90;30;74;46
VAUCLIN;14.551833;-60.836667;12;2024092318;0;4.5;90;29.6;77;33
VAUCLIN;14.551833;-60.836667;12;2024092319;0;4.1;60;29;81;3
VAUCLIN;14.551833;-60.836667;12;2024092320;0;5.5;110;29.2;80;0
VAUCLIN;14.551833;-60.836667;12;2024092321;0;5.7;100;29.4;79;0
VAUCLIN;14.551833;-60.836667;12;2024092322;0;5.2;110;29.3;79;0
VAUCLIN;14.551833;-60.836667;12;2024092323;0;5.1;110;29.1;79;0
VAUCLIN;14.551833;-60.836667;12;2024092400;0;5.3;110;29.1;80;0
VAUCLIN;14.551833;-60.836667;12;2024092401;0;6;110;29;80;0
VAUCLIN;14.551833;-60.836667;12;2024092402;0;4.6;110;28.9;79;0
VAUCLIN;14.551833;-60.836667;12;2024092403;1.4;8.2;130;27.7;88;0
VAUCLIN;14.551833;-60.836667;12;2024092404;0;1.5;160;26.8;87;0
VAUCLIN;14.551833;-60.836667;12;2024092405;0;5.4;110;28.6;83;0
VAUCLIN;14.551833;-60.836667;12;2024092406;0;2.1;240;27.7;82;1
VAUCLIN;14.551833;-60.836667;12;2024092407;0;1.8;290;28.3;85;28
VAUCLIN;14.551833;-60.836667;12;2024092408;0;0.7;220;30.1;76;120
VAUCLIN;14.551833;-60.836667;12;2024092409;0;2.2;90;31.3;70;160
VAUCLIN;14.551833;-60.836667;12;2024092410;0;4.1;100;31.3;74;229
VAUCLIN;14.551833;-60.836667;12;2024092411;0;4.6;110;31;75;305
VAUCLIN;14.551833;-60.836667;12;2024092412;0;4.9;100;31.4;71;342
VAUCLIN;14.551833;-60.836667;12;2024092413;0;5.8;90;30.1;72;338
VAUCLIN;14.551833;-60.836667;12;2024092414;0;4.4;90;30.8;76;336
VAUCLIN;14.551833;-60.836667;12;2024092415;0;6;90;29.9;77;243
VAUCLIN;14.551833;-60.836667;12;2024092416;0;5;80;29.5;80;183
VAUCLIN;14.551833;-60.836667;12;2024092417;0;6.4;100;29.3;81;105
VAUCLIN;14.551833;-60.836667;12;2024092418;0;9.1;110;28.3;83;20
VAUCLIN;14.551833;-60.836667;12;2024092419;0;5.4;110;28.5;77;2
VAUCLIN;14.551833;-60.836667;12;2024092420;0;7.3;110;28.3;84;0
VAUCLIN;14.551833;-60.836667;12;2024092421;0;6.1;100;28.5;78;0
VAUCLIN;14.551833;-60.836667;12;2024092422;0;5.7;110;28.6;84;0
VAUCLIN;14.551833;-60.836667;12;2024092423;0;6.1;100;28.7;81;0
VAUCLIN;14.551833;-60.836667;12;2024092500;0;5.5;90;28.8;80;0
VAUCLIN;14.551833;-60.836667;12;2024092501;0;3.8;60;28.8;78;0
VAUCLIN;14.551833;-60.836667;12;2024092502;0;5;70;28.9;79;0
VAUCLIN;14.551833;-60.836667;12;2024092503;0;4;60;28.7;81;0
VAUCLIN;14.551833;-60.836667;12;2024092504;38.5;3;290;24.5;96;0
VAUCLIN;14.551833;-60.836667;12;2024092505;0.2;2;320;24.9;97;0
VAUCLIN;14.551833;-60.836667;12;2024092506;0;2;310;25.1;96;0
VAUCLIN;14.551833;-60.836667;12;2024092507;0;1.2;260;25.5;95;25
VAUCLIN;14.551833;-60.836667;12;2024092508;0;1.7;300;28;91;93
VAUCLIN;14.551833;-60.836667;12;2024092509;0;2.8;10;27.4;85;187
VAUCLIN;14.551833;-60.836667;12;2024092510;0.4;2.1;30;27.5;91;246
VAUCLIN;14.551833;-60.836667;12;2024092511;0.2;4.6;10;26.2;90;307
VAUCLIN;14.551833;-60.836667;12;2024092512;0;3.5;360;27.4;84;348
VAUCLIN;14.551833;-60.836667;12;2024092513;0;3.3;10;29.1;76;340
VAUCLIN;14.551833;-60.836667;12;2024092514;0;3.4;40;29.7;70;309
VAUCLIN;14.551833;-60.836667;12;2024092515;0;3.7;40;29.7;70;218
VAUCLIN;14.551833;-60.836667;12;2024092516;0;3.8;70;29.4;76;137
VAUCLIN;14.551833;-60.836667;12;2024092517;0;5.3;70;28.8;79;99
VAUCLIN;14.551833;-60.836667;12;2024092518;3.1;6.4;70;27;83;22
VAUCLIN;14.551833;-60.836667;12;2024092519;3;7.1;100;27.9;85;1
VAUCLIN;14.551833;-60.836667;12;2024092520;0.4;10.3;100;28.6;83;0
VAUCLIN;14.551833;-60.836667;12;2024092521;0;10.1;100;28.3;85;0
VAUCLIN;14.551833;-60.836667;12;2024092522;0;9.4;110;28.5;79;0
VAUCLIN;14.551833;-60.836667;12;2024092523;0;8.7;110;28.5;81;0
VAUCLIN;14.551833;-60.836667;12;2024092600;0;6.4;120;28;84;0
VAUCLIN;14.551833;-60.836667;12;2024092601;2.2;6.5;120;28.2;88;0
VAUCLIN;14.551833;-60.836667;12;2024092602;4.4;6.5;130;27.9;86;0
VAUCLIN;14.551833;-60.836667;12;2024092603;0;6.9;130;28.1;82;0
VAUCLIN;14.551833;-60.836667;12;2024092604;0.2;8.7;110;28.3;84;0
VAUCLIN;14.551833;-60.836667;12;2024092605;2;6.1;110;27.1;89;0
VAUCLIN;14.551833;-60.836667;12;2024092606;1.4;5.6;160;27.5;81;0
VAUCLIN;14.551833;-60.836667;12;2024092607;17.3;3.1;300;24.3;93;7
VAUCLIN;14.551833;-60.836667;12;2024092608;14.9;2.1;360;24.3;96;16
VAUCLIN;14.551833;-60.836667;12;2024092609;3.8;1.8;270;24.7;96;45
VAUCLIN;14.551833;-60.836667;12;2024092610;9.5;1.9;360;24.8;96;54
VAUCLIN;14.551833;-60.836667;12;2024092611;2.4;2.1;50;24.6;97;36
VAUCLIN;14.551833;-60.836667;12;2024092612;1.2;1.3;320;24.7;97;28
VAUCLIN;14.551833;-60.836667;12;2024092613;1;1.2;20;24.8;97;83
VAUCLIN;14.551833;-60.836667;12;2024092614;0;1.9;10;24.7;97;146
VAUCLIN;14.551833;-60.836667;12;2024092615;0;4.1;30;25.4;94;167
VAUCLIN;14.551833;-60.836667;12;2024092616;0;4.9;40;26;91;142
VAUCLIN;14.551833;-60.836667;12;2024092617;0;3.3;30;26.2;88;57
VAUCLIN;14.551833;-60.836667;12;2024092618;0;2.1;20;26;90;19
VAUCLIN;14.551833;-60.836667;12;2024092619;0;3.9;50;26.4;87;1
VAUCLIN;14.551833;-60.836667;12;2024092620;0;3.7;60;27.1;88;0
VAUCLIN;14.551833;-60.836667;12;2024092621;0;3.8;70;27.6;85;0
VAUCLIN;14.551833;-60.836667;12;2024092622;0;5.8;80;27.9;83;0
VAUCLIN;14.551833;-60.836667;12;2024092623;0;6.1;90;28;85;0
VAUCLIN;14.551833;-60.836667;12;2024092700;0;6.4;100;28.1;84;0
VAUCLIN;14.551833;-60.836667;12;2024092701;0;6.7;130;28.1;85;0
VAUCLIN;14.551833;-60.836667;12;2024092702;0;6.3;120;27.9;85;0
VAUCLIN;14.551833;-60.836667;12;2024092703;0;7;140;28.2;86;0
VAUCLIN;14.551833;-60.836667;12;2024092704;0.4;6.7;130;27.8;90;0
VAUCLIN;14.551833;-60.836667;12;2024092705;0;7.3;130;28.1;82;0
VAUCLIN;14.551833;-60.836667;12;2024092706;0;7.3;130;28.3;81;0
VAUCLIN;14.551833;-60.836667;12;2024092707;0;7;130;29.6;77;22
VAUCLIN;14.551833;-60.836667;12;2024092708;0;6.9;130;30.2;76;65
VAUCLIN;14.551833;-60.836667;12;2024092709;0;7.2;140;30.4;73;197
VAUCLIN;14.551833;-60.836667;12;2024092710;0;6.5;140;30.6;76;258
VAUCLIN;14.551833;-60.836667;12;2024092711;0;6.7;140;30.6;74;324
VAUCLIN;14.551833;-60.836667;12;2024092712;0;5.8;140;30.6;74;353
VAUCLIN;14.551833;-60.836667;12;2024092713;0;5.8;140;30.2;78;353
VAUCLIN;14.551833;-60.836667;12;2024092714;0;5;140;30.5;75;330
VAUCLIN;14.551833;-60.836667;12;2024092715;0;5.3;130;30.5;74;272
VAUCLIN;14.551833;-60.836667;12;2024092716;0;5.3;130;30.3;77;200
VAUCLIN;14.551833;-60.836667;12;2024092717;0;5.1;140;29.6;73;86
VAUCLIN;14.551833;-60.836667;12;2024092718;0;5.1;140;29.2;77;17
VAUCLIN;14.551833;-60.836667;12;2024092719;0;4.9;120;28.9;81;1
VAUCLIN;14.551833;-60.836667;12;2024092720;0;5.1;120;28.9;80;0
VAUCLIN;14.551833;-60.836667;12;2024092721;0;5.1;110;28.9;82;0
VAUCLIN;14.551833;-60.836667;12;2024092722;0;5.3;110;28.8;82;0
VAUCLIN;14.551833;-60.836667;12;2024092723;0;5.5;110;28.8;80;0
VAUCLIN;14.551833;-60.836667;12;2024092800;0;5.9;100;28.7;80;0
VAUCLIN;14.551833;-60.836667;12;2024092801;0;5.9;100;28.7;82;0
VAUCLIN;14.551833;-60.836667;12;2024092802;0;6.4;100;28.3;76;0
VAUCLIN;14.551833;-60.836667;12;2024092803;0;6.3;90;28.3;80;0
VAUCLIN;14.551833;-60.836667;12;2024092804;0.2;5.8;100;28.4;81;0
VAUCLIN;14.551833;-60.836667;12;2024092805;0;6.1;100;28.3;80;0
VAUCLIN;14.551833;-60.836667;12;2024092806;0;5.8;100;28.3;80;0
VAUCLIN;14.551833;-60.836667;12;2024092807;0;6;100;29.4;77;17
VAUCLIN;14.551833;-60.836667;12;2024092808;0;6.5;90;30.2;73;87
VAUCLIN;14.551833;-60.836667;12;2024092809;0;6.8;100;30.5;72;187
VAUCLIN;14.551833;-60.836667;12;2024092810;0;5.6;100;30.7;72;226
VAUCLIN;14.551833;-60.836667;12;2024092811;0;6.2;100;30.7;71;274
VAUCLIN;14.551833;-60.836667;12;2024092812;0;5.4;90;30.8;69;342
VAUCLIN;14.551833;-60.836667;12;2024092813;0;5.9;100;30.4;72;335
VAUCLIN;14.551833;-60.836667;12;2024092814;0;5.2;100;30.3;74;298
VAUCLIN;14.551833;-60.836667;12;2024092815;0;5.1;100;30.2;74;261
VAUCLIN;14.551833;-60.836667;12;2024092816;0;6;100;29.8;73;202
VAUCLIN;14.551833;-60.836667;12;2024092817;0;6.2;100;29.3;72;68
