NOM_USUEL;LAT;LON;ALTI;AAAAMMJJHH;P;U;PHI;T0C;RHUM;SOLAR RAD
ROBERT-PTE FORT;14.679667;-60.925500;16;2024071500;0.0;5.4;50;28.8;84;0
ROBERT-PTE FORT;14.679667;-60.925500;16;2024071501;0.6;6.4;70;27.9;88;0
ROBERT-PTE FORT;14.679667;-60.925500;16;2024071502;0.0;4.5;60;28.2;85;0
ROBERT-PTE FORT;14.679667;-60.925500;16;2024071503;0.0;5.8;60;28.1;85;0
ROBERT-PTE FORT;14.679667;-60.925500;16;2024071504;0.0;2.1;40;27.1;87;0
ROBERT-PTE FORT;14.679667;-60.925500;16;2024071505;0.0;3.1;40;27.9;86;0
ROBERT-PTE FORT;14.679667;-60.925500;16;2024071506;0.0;4.6;50;28.1;85;0
ROBERT-PTE FORT;14.679667;-60.925500;16;2024071507;3.4;2.4;30;26.9;92;25
ROBERT-PTE FORT;14.679667;-60.925500;16;2024071508;2.0;2.2;20;27.7;92;118
ROBERT-PTE FORT;14.679667;-60.925500;16;2024071509;0.0;2.5;20;29.1;86;204
ROBERT-PTE FORT;14.679667;-60.925500;16;2024071510;0.0;3.7;80;29.7;80;273
ROBERT-PTE FORT;14.679667;-60.925500;16;2024071511;3.2;2.5;70;28.3;89;339
ROBERT-PTE FORT;14.679667;-60.925500;16;2024071512;0.2;2.8;30;28.8;82;317
ROBERT-PTE FORT;14.679667;-60.925500;16;2024071513;12.7;4.3;260;25.3;90;315
ROBERT-PTE FORT;14.679667;-60.925500;16;2024071514;1.0;3.2;40;25.9;94;324
ROBERT-PTE FORT;14.679667;-60.925500;16;2024071515;0.0;0.8;10;28.9;89;250
ROBERT-PTE FORT;14.679667;-60.925500;16;2024071516;0.0;1.4;30;29.6;77;194
ROBERT-PTE FORT;14.679667;-60.925500;16;2024071517;0.0;2.1;50;30.0;77;93
ROBERT-PTE FORT;14.679667;-60.925500;16;2024071518;0.0;2.9;20;28.3;84;20
ROBERT-PTE FORT;14.679667;-60.925500;16;2024071519;0.0;5.1;50;27.3;87;1
ROBERT-PTE FORT;14.679667;-60.925500;16;2024071520;0.0;3.3;70;27.7;87;0
ROBERT-PTE FORT;14.679667;-60.925500;16;2024071521;0.0;3.6;60;27.8;85;0
ROBERT-PTE FORT;14.679667;-60.925500;16;2024071522;1.0;7.3;80;28.0;86;0
ROBERT-PTE FORT;14.679667;-60.925500;16;2024071523;0.0;6.4;90;28.9;80;0
ROBERT-PTE FORT;14.679667;-60.925500;16;2024071600;0.0;5.1;120;28.1;82;0
ROBERT-PTE FORT;14.679667;-60.925500;16;2024071601;0.0;2.8;50;26.7;85;0
ROBERT-PTE FORT;14.679667;-60.925500;16;2024071602;0.0;1.4;280;26.3;88;0
ROBERT-PTE FORT;14.679667;-60.925500;16;2024071603;0.0;3.0;120;28.6;77;0
ROBERT-PTE FORT;14.679667;-60.925500;16;2024071604;0.0;5.4;100;28.7;76;0
ROBERT-PTE FORT;14.679667;-60.925500;16;2024071605;0.0;5.6;90;28.8;78;0
ROBERT-PTE FORT;14.679667;-60.925500;16;2024071606;0.0;5.3;80;28.3;84;0
ROBERT-PTE FORT;14.679667;-60.925500;16;2024071607;0.2;7.6;90;29.5;77;24
ROBERT-PTE FORT;14.679667;-60.925500;16;2024071608;0.0;5.5;100;29.9;73;96
ROBERT-PTE FORT;14.679667;-60.925500;16;2024071609;0.0;5.4;100;30.2;74;181
ROBERT-PTE FORT;14.679667;-60.925500;16;2024071610;0.0;5.8;90;30.3;72;239
ROBERT-PTE FORT;14.679667;-60.925500;16;2024071611;0.0;5.0;100;30.5;70;311
ROBERT-PTE FORT;14.679667;-60.925500;16;2024071612;0.0;5.5;90;30.7;71;305
ROBERT-PTE FORT;14.679667;-60.925500;16;2024071613;0.0;6.8;90;30.5;74;349
ROBERT-PTE FORT;14.679667;-60.925500;16;2024071614;0.0;6.4;140;28.8;76;235
ROBERT-PTE FORT;14.679667;-60.925500;16;2024071615;0.6;4.7;100;29.4;81;203
ROBERT-PTE FORT;14.679667;-60.925500;16;2024071616;0.0;6.5;100;28.9;77;196
ROBERT-PTE FORT;14.679667;-60.925500;16;2024071617;1.2;3.3;100;28.0;86;99
ROBERT-PTE FORT;14.679667;-60.925500;16;2024071618;0.0;6.9;90;28.4;83;24
ROBERT-PTE FORT;14.679667;-60.925500;16;2024071619;0.0;7.2;90;28.8;82;2
